px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
197.712	37.7373	2.09572	0.24524	0.0850256	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	172245
197.667	37.7273	1.96586	0.254335	0.0921069	197.582	37.303	197.683	37.2395	1.81869	-0.159495	1.56506e+06
199.319	37.3203	1.53892	-0.353177	-0.414178	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	177717
199.341	37.3422	1.74543	-0.309117	-0.342334	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	1.53327e+06
201.484	36.9928	2.37399	0.0124223	0.185648	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	141102
201.357	36.9884	1.82493	-0.0821471	0.0922526	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	1.50431e+06
202.964	36.471	1.85149	-0.363119	-0.17472	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	153471
202.919	36.4535	1.66275	-0.412734	-0.250033	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	1.46108e+06
204.013	36.1706	1.15651	-0.328499	-0.0289062	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	151008
204.016	36.1584	1.47685	-0.289655	0.0337413	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	1.43788e+06
